X=  0.00000, Y=  0.00000, th=  3.14159 
X=  -321.31287, Y=  0.05327, th=  3.13841 
X=  -322.29025, Y=  0.05638, th=  3.13841 
X=  -322.77894, Y=  0.05793, th=  3.13841 
X=  -323.75632, Y=  0.06105, th=  3.13841 
X=  -324.73370, Y=  0.06416, th=  3.13841 
X=  -325.71108, Y=  0.06727, th=  3.13841 
X=  -326.44412, Y=  0.06843, th=  3.14159 
X=  -327.42150, Y=  0.06843, th=  3.14159 
X=  -327.91019, Y=  0.06843, th=  3.14159 
X=  -328.88758, Y=  0.06843, th=  3.14159 
X=  -329.86496, Y=  0.06843, th=  3.14159 
X=  -330.59800, Y=  0.06960, th=  3.13841 
X=  -331.33104, Y=  0.07077, th=  3.14159 
X=  -332.30842, Y=  0.07077, th=  3.14159 
X=  -333.04146, Y=  0.06960, th=  -3.13841 
X=  -334.01884, Y=  0.06649, th=  -3.13841 
X=  -334.75187, Y=  0.06532, th=  -3.14159 
X=  -335.72926, Y=  0.06532, th=  -3.14159 
X=  -336.46230, Y=  0.06416, th=  -3.13841 
X=  -337.43968, Y=  0.06105, th=  -3.13841 
X=  -337.92837, Y=  0.05949, th=  -3.13841 
X=  -338.90575, Y=  0.05638, th=  -3.13841 
X=  -339.88312, Y=  0.05327, th=  -3.13841 
X=  -340.86050, Y=  0.05016, th=  -3.13841 
X=  -341.34919, Y=  0.04860, th=  -3.13841 
X=  -342.32657, Y=  0.04549, th=  -3.13841 
X=  -343.05960, Y=  0.04199, th=  -3.13523 
X=  -343.79263, Y=  0.03849, th=  -3.13841 
X=  -344.77001, Y=  0.03538, th=  -3.13841 
X=  -345.74739, Y=  0.03227, th=  -3.13841 
X=  -346.48042, Y=  0.02877, th=  -3.13523 
X=  -347.45779, Y=  0.02255, th=  -3.13523 
X=  -347.94647, Y=  0.01944, th=  -3.13523 
X=  -348.92383, Y=  0.01322, th=  -3.13523 
X=  -349.90120, Y=  0.00700, th=  -3.13523 
X=  -350.63423, Y=  0.00350, th=  -3.13841 
X=  -351.61161, Y=  0.00039, th=  -3.13841 
X=  -352.34464, Y=  -0.00311, th=  -3.13523 
X=  -353.32200, Y=  -0.00933, th=  -3.13523 
X=  -353.81068, Y=  -0.01244, th=  -3.13523 
X=  -354.78805, Y=  -0.01866, th=  -3.13523 
X=  -355.76541, Y=  -0.02489, th=  -3.13523 
X=  -356.49844, Y=  -0.02839, th=  -3.13841 
X=  -357.47582, Y=  -0.03150, th=  -3.13841 
X=  -358.20885, Y=  -0.03500, th=  -3.13523 
X=  -359.18622, Y=  -0.04122, th=  -3.13523 
X=  -359.67490, Y=  -0.04433, th=  -3.13523 
X=  -360.65226, Y=  -0.05055, th=  -3.13523 
X=  -361.62963, Y=  -0.05677, th=  -3.13523 
X=  -362.36266, Y=  -0.06027, th=  -3.13841 
X=  -363.34004, Y=  -0.06338, th=  -3.13841 
X=  -364.07307, Y=  -0.06688, th=  -3.13523 
X=  -365.05043, Y=  -0.07310, th=  -3.13523 
X=  -365.53911, Y=  -0.07621, th=  -3.13523 
X=  -366.51648, Y=  -0.08243, th=  -3.13523 
