X=  886.56279, Y=  2600.22982, th=  0.00972 
X=  887.69721, Y=  2600.23901, th=  0.00648 
X=  889.05854, Y=  2600.24784, th=  0.00648 
X=  889.96609, Y=  2600.25372, th=  0.00648 
X=  890.87365, Y=  2600.25960, th=  0.00648 
X=  892.23497, Y=  2600.26843, th=  0.00648 
X=  893.14253, Y=  2600.27431, th=  0.00648 
X=  894.27698, Y=  2600.27983, th=  0.00324 
X=  895.41143, Y=  2600.28534, th=  0.00648 
X=  896.31898, Y=  2600.29123, th=  0.00648 
X=  897.68031, Y=  2600.30005, th=  0.00648 
X=  898.58786, Y=  2600.30594, th=  0.00648 
X=  899.72231, Y=  2600.31145, th=  0.00324 
X=  900.62988, Y=  2600.31439, th=  0.00324 
X=  901.76433, Y=  2600.31991, th=  0.00648 
X=  902.89878, Y=  2600.32543, th=  0.00324 
X=  904.26013, Y=  2600.32984, th=  0.00324 
X=  905.16769, Y=  2600.33278, th=  0.00324 
X=  906.07526, Y=  2600.33572, th=  0.00324 
X=  907.20971, Y=  2600.34124, th=  0.00648 
X=  908.34416, Y=  2600.34675, th=  0.00324 
X=  909.25173, Y=  2600.34969, th=  0.00324 
X=  910.61308, Y=  2600.35411, th=  0.00324 
X=  911.52064, Y=  2600.35705, th=  0.00324 
X=  912.42821, Y=  2600.35999, th=  0.00324 
X=  913.78956, Y=  2600.36440, th=  0.00324 
X=  914.69713, Y=  2600.36735, th=  0.00324 
X=  916.05848, Y=  2600.37176, th=  0.00324 
X=  916.96604, Y=  2600.37470, th=  0.00324 
X=  917.87361, Y=  2600.37764, th=  0.00324 
X=  918.78118, Y=  2600.38058, th=  0.00324 
X=  920.14253, Y=  2600.38500, th=  0.00324 
X=  921.05009, Y=  2600.38794, th=  0.00324 
X=  922.18455, Y=  2600.38978, th=  0.00000 
X=  923.31902, Y=  2600.39161, th=  0.00324 
X=  924.22658, Y=  2600.39456, th=  0.00324 
X=  925.13415, Y=  2600.39750, th=  0.00324 
X=  926.26861, Y=  2600.39934, th=  0.00000 
X=  927.40308, Y=  2600.40118, th=  0.00324 
X=  928.53754, Y=  2600.40301, th=  0.00000 
X=  929.44511, Y=  2600.40301, th=  0.00000 
X=  930.57957, Y=  2600.40485, th=  0.00324 
X=  931.48714, Y=  2600.40779, th=  0.00324 
X=  932.62160, Y=  2600.40963, th=  0.00000 
X=  933.75606, Y=  2600.41147, th=  0.00324 
X=  934.89053, Y=  2600.41331, th=  0.00000 
X=  935.79810, Y=  2600.41331, th=  0.00000 
X=  936.93256, Y=  2600.41515, th=  0.00324 
X=  937.84013, Y=  2600.41809, th=  0.00324 
X=  938.97459, Y=  2600.41993, th=  0.00000 
X=  939.88216, Y=  2600.41993, th=  0.00000 
X=  941.24352, Y=  2600.41993, th=  0.00000 
X=  942.15109, Y=  2600.41993, th=  0.00000 
X=  943.28555, Y=  2600.42177, th=  0.00324 
X=  944.19312, Y=  2600.42471, th=  0.00324 
X=  945.32758, Y=  2600.42655, th=  0.00000 
X=  946.23515, Y=  2600.42655, th=  0.00000 
X=  947.59651, Y=  2600.42655, th=  0.00000 
X=  948.50408, Y=  2600.42655, th=  0.00000 
X=  949.41165, Y=  2600.42655, th=  0.00000 
X=  950.54611, Y=  2600.42839, th=  0.00324 
X=  951.68057, Y=  2600.43022, th=  0.00000 
X=  952.58815, Y=  2600.43022, th=  0.00000 
X=  953.72261, Y=  2600.42839, th=  -0.00324 
X=  954.85707, Y=  2600.42655, th=  0.00000 
X=  955.76464, Y=  2600.42655, th=  0.00000 
X=  956.89910, Y=  2600.42471, th=  -0.00324 
X=  958.03357, Y=  2600.42287, th=  0.00000 
X=  959.16803, Y=  2600.42103, th=  -0.00324 
X=  960.07560, Y=  2600.41809, th=  -0.00324 
X=  961.21006, Y=  2600.41625, th=  0.00000 
